active_experts,checkpoint,common_rare_NMI,condition,effective_experts,eval_count,experiment_id,feature_NMI,joint_feature_score,load_imbalance,loss,map_feature_0_expert,map_feature_1_expert,map_feature_2_expert,map_feature_3_expert,margin_mean,margin_p05,max_load,min_load,rare_collision_rate,rare_dominant_experts,rare_eval_count,rare_feature_NMI,rare_feature_purity_mean,rare_margin_mean,rare_margin_p05,rare_positive_margin_frac,rare_sign_flip_rate,seed,slot_len,slot_start_NMI,target_accuracy
4,0,0.3555250036168713,random_raw,3.8563382625579834,2048,A06_24_synthetic_common_rare_transformer_moe,0.732411890783616,0.29951214074659455,0.412109375,4.1037278175354,3,1,2,0,0.23761999607086182,-0.0694943368434906,0.30859375,0.14697265625,0.0,3,1536,0.8424502853514108,0.94921875,0.31016066670417786,-0.0009704828262329102,0.94921875,0.0,0,1,0.011385443832615456,0.00048828125
4,0,0.5044100616147632,random_common_subtract,3.9634809494018555,2048,A06_24_synthetic_common_rare_transformer_moe,0.8087618021667098,0.4113328907629282,0.236328125,4.113416910171509,3,1,2,0,0.24716505408287048,-0.02905958890914917,0.30908203125,0.224609375,0.0,3,1536,0.8154732073466816,0.935546875,0.2906711995601654,-0.019719719886779785,0.935546875,0.0,0,1,0.0088333455937582,0.00048828125
3,0,0.09473214874878183,allpos_kmeans_raw,1.6010980606079102,2048,A06_24_synthetic_common_rare_transformer_moe,0.31048301975308346,0.03246425863311356,2.384765625,4.058819234371185,0,3,2,1,-1.7155436277389526,-7.217791557312012,0.84619140625,0.0,0.33333333333333337,2,1536,0.34269526303266734,0.8411458333333334,0.0622418075799942,-1.1701979637145996,0.5377604365348816,0.0,0,1,0.013444876485842784,0.0
3,0,0.6088044552669083,allpos_kmeans_common_subtract,2.817155599594116,2048,A06_24_synthetic_common_rare_transformer_moe,0.7861458501255941,0.4297165923545419,1.01171875,4.14131498336792,2,0,3,1,0.3551486134529114,-3.106567859649658,0.5029296875,0.0,0.33333333333333337,2,1536,0.7058368062798558,0.96875,0.19214950501918793,-3.2061514854431152,0.6354166865348816,0.0,0,1,0.001954269797039676,0.0
4,0,0.6368979998605808,route_kmeans_raw,4.0,2048,A06_24_synthetic_common_rare_transformer_moe,0.9999999999942291,0.6368979998588417,0.0,4.092001914978027,2,0,1,3,11.948067665100098,11.05518627166748,0.25,0.25,0.0,3,1536,0.9999999999972693,1.0,12.074360847473145,11.041460037231445,1.0,0.0,0,1,0.0011660424915207414,0.00048828125
4,0,0.6368979998605808,route_kmeans_residual_input,4.0,2048,A06_24_synthetic_common_rare_transformer_moe,0.9999999999942291,0.6368979998588417,0.0,4.164188623428345,3,0,1,2,10.706899642944336,4.435138702392578,0.25,0.25,0.0,3,1536,0.9999999999972693,1.0,12.748100280761719,10.461160659790039,1.0,0.0,0,1,0.0011660424915207418,0.00048828125
4,0,0.6368979998605808,oracle_raw,4.0,2048,A06_24_synthetic_common_rare_transformer_moe,0.9999999999942291,0.6368979998588417,0.0,4.067549467086792,0,1,2,3,11.948067665100098,11.05518627166748,0.25,0.25,0.0,3,1536,0.9999999999972693,1.0,12.074360847473145,11.041460037231445,1.0,0.0,0,1,0.0011660424915207414,0.0
4,0,0.6368979998605808,oracle_residual_input,4.0,2048,A06_24_synthetic_common_rare_transformer_moe,0.9999999999942291,0.6368979998588417,0.0,4.067999839782715,0,1,2,3,10.706899642944336,4.435138702392578,0.25,0.25,0.0,3,1536,0.9999999999972693,1.0,12.748100280761719,10.461160659790039,1.0,0.0,0,1,0.0011660424915207414,0.0
4,0,0.7278691290526462,random_raw,2.890482187271118,2048,A06_24_synthetic_common_rare_transformer_moe,0.7425677046362623,0.3912707879180514,0.986328125,4.268353700637817,3,0,1,2,-0.0014405695255845785,-1.0849742889404297,0.49462890625,0.00341796875,0.33333333333333337,2,1536,0.5375565088566232,0.9524739583333334,-0.15083357691764832,-1.101459264755249,0.6341145634651184,0.0,1,1,0.003935316269426947,0.0
4,0,0.7262571139410692,random_common_subtract,2.904149055480957,2048,A06_24_synthetic_common_rare_transformer_moe,0.7370035114390053,0.38133560587232457,0.990234375,4.266306638717651,3,0,1,2,0.025456305593252182,-0.9734086990356445,0.47998046875,0.00244140625,0.33333333333333337,2,1536,0.5250697012838725,0.9459635416666666,-0.12509536743164062,-0.9903088212013245,0.63671875,0.0,1,1,0.0036302493080011588,0.0
