phase,condition,dim,seed,step,pattern,is_tail,raw_grad_norm,raw_common_abs,raw_residual_norm,effective_weight,weighted_grad_norm,weighted_common_abs,weighted_residual_norm,cosine_with_high_gradient,high_macro_grad_norm
phase2,natural,8,0,0,the_sun,0,6.290192127227783,1.0882165431976318,6.195344924926758,0.4000000059604645,2.5160768032073975,0.43528661131858826,2.478137969970703,-0.17300210893154144,8.977684774436057e-05
phase2,natural,8,0,0,the_moon,0,6.290223121643066,1.0883960723876953,6.195344924926758,0.4000000059604645,2.5160892009735107,0.4353584349155426,2.478137969970703,0.1730298101902008,8.977684774436057e-05
phase2,natural,8,0,0,a_moon_cake,1,69.99153137207031,20.978559494018555,66.77360534667969,0.06666667014360428,4.666102409362793,1.3985706567764282,4.451573848724365,-0.29972997307777405,8.977684774436057e-05
phase2,natural,8,0,0,a_banana_cake,1,17.239927291870117,0.10078786313533783,17.239633560180664,0.06666667014360428,1.149328589439392,0.006719191092997789,1.1493089199066162,-0.0058461884036660194,8.977684774436057e-05
phase2,natural,8,0,0,a_fruit_cake,1,25.461984634399414,0.15959981083869934,25.461484909057617,0.06666667014360428,1.6974657773971558,0.010639987885951996,1.6974323987960815,-0.006268160883337259,8.977684774436057e-05
phase2,natural,8,0,10,the_sun,0,3.792205572128296,3.450223922729492,1.5737789869308472,0.4000000059604645,1.516882300376892,1.3800896406173706,0.6295115947723389,-0.9098198413848877,0.16687682271003723
phase2,natural,8,0,10,the_moon,0,4.098202705383301,3.783977508544922,1.5737789869308472,0.4000000059604645,1.639281153678894,1.5135910511016846,0.6295115947723389,0.9233260750770569,0.16687682271003723
phase2,natural,8,0,10,a_moon_cake,1,6.41628360748291,3.545940637588501,5.347429275512695,0.06666667014360428,0.4277522563934326,0.23639605939388275,0.35649529099464417,-0.5526471138000488,0.16687682271003723
phase2,natural,8,0,10,a_banana_cake,1,1.9475215673446655,0.02677873522043228,1.9473376274108887,0.06666667014360428,0.12983477115631104,0.0017852491000667214,0.1298225224018097,0.013750161044299603,0.16687682271003723
phase2,natural,8,0,10,a_fruit_cake,1,1.953345775604248,0.026921473443508148,1.953160285949707,0.06666667014360428,0.13022306561470032,0.001794765004888177,0.13021069765090942,0.013782236725091934,0.16687682271003723
