condition,optimizer,loss,batch,batch_size,lr,seed,step,population_raw_loss,population_reweighted_loss,all_accuracy,common_accuracy,tail_accuracy,internal_accuracy,common_loss,tail_loss,A_group_accuracy,B_group_accuracy,C_group_accuracy,D_group_accuracy,all_groups_full_accuracy,all_examples_full_accuracy,Bqk_norm,to_K_accuracy,to_K_loss,from_K_accuracy,from_K_loss,internal_loss,E_top1_energy,E_effective_rank,E_condition_nonzero,Bqk_top1_energy,Bqk_effective_rank,Bqk_condition_nonzero,Q_out_top1_energy,Q_out_effective_rank,Q_out_condition_nonzero,Final_h_top1_energy,Final_h_effective_rank,Final_h_condition_nonzero,batch_unique_fraction,batch_tail_fraction,batch_internal_fraction,hidden_grad_top1_energy,hidden_grad_effective_rank,hidden_grad_condition_nonzero,hidden_update_top1_energy,hidden_update_effective_rank,hidden_update_condition_nonzero,E_grad_top1_energy,E_grad_effective_rank,E_grad_condition_nonzero,E_update_top1_energy,E_update_effective_rank,E_update_condition_nonzero
withK_uniform,adam,raw,population,0,0.03,0,0,2.235416889190674,2.2158620357513428,0.0,0.0,0.0,0.0,2.2386889457702637,2.2343263626098633,0.0,0.0,0.0,0.0,0.0,0.0,0.019769640639424324,0.0,2.372302532196045,0.0,2.311326026916504,1.9467132091522217,0.3086276650428772,3.9641385078430176,1.1734869480133057,0.31937751173973083,3.905393123626709,1.342768669128418,0.43181586265563965,3.696981906890869,1.549521565437317,0.4376439154148102,3.679978370666504,1.5517604351043701,,,,,,,,,,,,,,,
withK_uniform,adam,raw,population,0,0.03,0,1,2.2030527591705322,2.178070306777954,0.0,0.0,0.0,0.0,2.2131450176239014,2.199688673019409,0.0,0.0,0.0,0.0,0.0,0.0,0.03197047486901283,0.0,2.3779306411743164,0.0,2.2730398178100586,1.8882004022598267,0.2918967306613922,3.9804234504699707,1.1284149885177612,0.5692440271377563,2.5082685947418213,1756.890380859375,0.46136412024497986,2.809116840362549,34.742069244384766,0.4207949638366699,3.7303590774536133,1.500548005104065,1.0,1.0,1.0,0.34461668133735657,3.362048625946045,3.062157392501831,0.4525012671947479,3.5569651126861572,1.8988409042358398,0.2882906198501587,3.8590028285980225,1.4303369522094727,0.4615151286125183,3.5651440620422363,1.731960654258728
withK_uniform,adam,raw,population,0,0.03,0,2,2.169786214828491,2.139502763748169,0.25,0.25,0.25,0.0,2.1750481128692627,2.168032169342041,0.25,0.25,0.25,0.25,0.0,0.0,0.05912671983242035,0.0,2.381772041320801,0.5,2.2372164726257324,1.822939395904541,0.2770257592201233,3.9923064708709717,1.0767441987991333,0.5316144824028015,2.6631479263305664,14.23853874206543,0.41086822748184204,3.417245626449585,2.4925954341888428,0.40496310591697693,3.7759017944335938,1.4397547245025635,1.0,1.0,1.0,0.3539135456085205,3.0618138313293457,9.181312561035156,0.2874600887298584,3.972970724105835,1.1703177690505981,0.28923535346984863,3.8553738594055176,1.4393445253372192,0.3309991955757141,3.922640562057495,1.2903590202331543
withK_uniform,adam,raw,population,0,0.03,0,3,2.1357924938201904,2.1013946533203125,0.25,0.25,0.25,0.0,2.1359903812408447,2.1357262134552,0.25,0.25,0.25,0.25,0.0,0.0,0.08810572326183319,0.0,2.376575469970703,0.5,2.203098773956299,1.7603956460952759,0.27456364035606384,3.9936511516571045,1.0687448978424072,0.5839878916740417,2.4604709148406982,17.650659561157227,0.4467166066169739,3.3091812133789062,2.7396185398101807,0.3992741107940674,3.791079044342041,1.4220633506774902,1.0,1.0,1.0,0.353191614151001,3.032947063446045,12.902985572814941,0.32938796281814575,3.8185911178588867,1.3917700052261353,0.28869205713272095,3.856902837753296,1.4351593255996704,0.4101215898990631,3.6542725563049316,1.7223572731018066
withK_uniform,adam,raw,population,0,0.03,0,4,2.1019909381866455,2.063521146774292,0.25,0.25,0.25,0.0,2.0978658199310303,2.1033661365509033,0.25,0.25,0.25,0.25,0.0,0.0,0.11776626855134964,0.0,2.371279716491699,0.5,2.169165849685669,1.698352575302124,0.27578046917915344,3.9930334091186523,1.0721145868301392,0.6718104481697083,2.2248377799987793,51.79922866821289,0.4842265844345093,3.0000579357147217,5.138986587524414,0.3959377110004425,3.7996761798858643,1.4137957096099854,1.0,1.0,1.0,0.34763452410697937,3.062769889831543,9.307048797607422,0.4001622796058655,3.7844324111938477,1.463868498802185,0.2893768548965454,3.8435916900634766,1.4617152214050293,0.43245890736579895,3.534075975418091,1.8985623121261597
withK_uniform,adam,raw,population,0,0.03,0,5,2.0694780349731445,2.02652645111084,0.25,0.25,0.25,0.0,2.062840461730957,2.071690320968628,0.25,0.25,0.25,0.25,0.0,0.0,0.1535983681678772,0.0,2.3701388835906982,0.5,2.1354172229766846,1.6369390487670898,0.2764643728733063,3.992633104324341,1.0738476514816284,0.7452776432037354,2.025174379348755,431.1981201171875,0.4874829947948456,2.8514575958251953,17.62042236328125,0.39160746335983276,3.8105478286743164,1.4026380777359009,1.0,1.0,1.0,0.3412240743637085,3.0728039741516113,8.564667701721191,0.3824962377548218,3.8237462043762207,1.4480507373809814,0.29183682799339294,3.8180763721466064,1.5157713890075684,0.38271021842956543,3.662503719329834,1.6980559825897217
withK_uniform,adam,raw,population,0,0.03,0,6,2.0396382808685303,1.9914566278457642,0.25,0.25,0.25,0.0,2.031909465789795,2.0422141551971436,0.25,0.25,0.25,0.25,0.0,0.0,0.19649958610534668,0.0,2.376908540725708,0.5,2.101736307144165,1.5781710147857666,0.27562347054481506,3.993046522140503,1.072445034980774,0.789728045463562,1.8821529150009155,1386.1700439453125,0.48603150248527527,2.852184772491455,24.155065536499023,0.38579508662223816,3.8247463703155518,1.3869506120681763,1.0,1.0,1.0,0.34420573711395264,3.052651882171631,10.40369701385498,0.35970792174339294,3.8690526485443115,1.3852734565734863,0.29520919919013977,3.785768508911133,1.5864366292953491,0.33544623851776123,3.7885680198669434,1.4910368919372559
withK_uniform,adam,raw,population,0,0.03,0,7,2.0142359733581543,1.9599076509475708,0.25,0.25,0.25,0.0,2.0063133239746094,2.0168769359588623,0.25,0.25,0.25,0.25,0.0,0.0,0.24491383135318756,0.0,2.3945369720458984,0.5,2.0685172080993652,1.5253727436065674,0.2747490704059601,3.993473529815674,1.0708534717559814,0.8198054432868958,1.7684584856033325,225.73008728027344,0.5095080137252808,2.8283169269561768,14.823492050170898,0.37957096099853516,3.839393377304077,1.3705440759658813,1.0,1.0,1.0,0.3518035113811493,3.0285019874572754,14.588872909545898,0.3802434802055359,3.825369358062744,1.4503798484802246,0.2983143627643585,3.7681891918182373,1.629176139831543,0.3254339098930359,3.8328611850738525,1.4460617303848267
withK_uniform,adam,raw,population,0,0.03,0,8,1.9948515892028809,1.9333038330078125,0.125,0.25,0.0833333358168602,0.0,1.9876532554626465,1.997251033782959,0.25,0.25,0.0,0.0,0.0,0.0,0.3014543056488037,0.0,2.4256863594055176,0.25,2.035935163497925,1.4818496704101562,0.2760388255119324,3.9927425384521484,1.0746427774429321,0.8446119427680969,1.6644779443740845,190.27146911621094,0.5558836460113525,2.703967332839966,16.8008975982666,0.3740709722042084,3.8517236709594727,1.35745108127594,1.0,1.0,1.0,0.358157217502594,3.1414191722869873,5.743371963500977,0.4185345768928528,3.7223098278045654,1.5817582607269287,0.29293176531791687,3.846132755279541,1.4648157358169556,0.3690682649612427,3.7674508094787598,1.6085256338119507
withK_uniform,adam,raw,population,0,0.03,0,9,1.9823570251464844,1.9121642112731934,0.0,0.0,0.0,0.0,1.976768970489502,1.9842195510864258,0.0,0.0,0.0,0.0,0.0,0.0,0.37036970257759094,0.0,2.473707675933838,0.0,2.0030388832092285,1.4496424198150635,0.2797047197818756,3.990562677383423,1.0849361419677734,0.8634809851646423,1.5814251899719238,230.4880828857422,0.6049102544784546,2.5447142124176025,22.229328155517578,0.3686489462852478,3.863316535949707,1.3449995517730713,1.0,1.0,1.0,0.35033711791038513,3.59234356880188,2.1563620567321777,0.4362373352050781,3.6665806770324707,1.6532517671585083,0.2730962336063385,3.986448049545288,1.1212414503097534,0.45920708775520325,3.5592033863067627,1.867126703262329
